#,source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
6030105083967862400,255.56939957602407,-28.469616724422263,RRc,0.2234109597017681,0.14933226,0.0014757704,0.019791674,0.001693655,0.009366391,0.0015928973,4.451264,0.08676499,3.560708,0.1621002,-0.4738209910130992,0.3201525532732808,0.3523,0.019,14.614172077483667,0.5835181871352125,
6028129467734900992,256.08423646326264,-31.95176942322568,RRc,0.2333071086184421,0.17591463,0.0028786429,0.027405212,0.002531749,0.011628094,0.0027574105,4.7179046,0.12001648,3.2889633,0.2420686,-0.6919458286814952,0.3189532704545816,0.4988,0.0202,15.14006403203082,0.6172436028390653,
6028993791355037696,256.4697212974611,-30.023014665693857,RRc,0.2341905115984719,0.17666855,0.0027311416,0.029671932,0.0026204763,0.0068672937,0.0068984623,4.5965056,0.10551353,3.558554,0.3370073,-0.6586553939309499,0.3389807290916842,0.5359,0.0165,15.086257110300668,0.6114767465847583,
6028242927901280128,256.5977109606221,-31.510029050468017,RRc,0.2451604319053738,0.1937655,0.003637657,0.035496037,0.004773196,0.017622996,0.0040054675,4.624958,0.07063105,2.7434466,0.20198233,-0.994210356051892,0.3249645905815147,0.7223,0.0194,15.132982099694528,0.6750859764137369,
5980168293840404864,256.8669737308464,-32.082558138129635,RRc,0.2290898251782186,0.16628318,0.0047176303,0.027936282,0.00397087,0.019982351,0.0039104284,4.3874745,0.17851497,3.7159183,0.21523437,-0.5626907719019869,0.3306837674595335,0.7155,0.0392,15.127759416132555,0.6050541670365543,
4115165572583342720,257.28972970124767,-23.2309623436808,RRc,0.2358341293580112,0.15998457,0.0025337264,0.02123568,0.0038542799,0.010096915,0.0032349376,4.776645,0.1591802,3.7137156,0.2636439,-0.5582101279174154,0.3389481726981978,0.6195,0.033,13.591953835816875,0.6156721128858347,
4114431403732810752,257.9541001239845,-23.13626416510416,RRc,0.2155178914854385,0.16089997,0.001857279,0.019646747,0.0018706005,0.009528015,0.0019690432,4.700451,0.08163614,3.52571,0.21183221,-0.4131101102656445,0.3297549127907908,0.642,0.0229,14.57252683087438,0.5872028865028455,
4109470102389947648,258.25139525357025,-25.44524053980967,RRc,0.2212688933386608,0.1545349,0.0024881947,0.018476192,0.0024438302,0.010430738,0.0018514931,4.699163,0.10224468,3.656366,0.18583277,-0.4212398023921631,0.3154573131204177,0.6709,0.0133,14.236659744669808,0.5699126082841796,
5953754343700802176,258.85222823752315,-42.08293351923902,RRc,0.2203960819853975,0.123500116,0.0067321095,0.020258829,0.019202258,0.017228043,0.0,4.6386304,0.30662844,3.520616,0.260028,-0.4616583230152944,0.3685709819620932,1.5671,0.079,13.515533730444284,0.6261666903577153,
5980458354409129856,259.1562130776469,-31.20967342838529,RRc,0.2254641569904263,0.1637515,0.0023136938,0.022910554,0.0028999562,0.011494767,0.0025771959,4.641491,0.099518724,3.7914379,0.32313323,-0.4674177580582401,0.3396109726524267,1.1999,0.0681,12.865158572256307,0.620984202828404,
4107331960355700608,259.26648298936755,-29.31900636320857,RRc,0.2162527921361235,0.1490922,0.0014915909,0.019205112,0.0022584174,0.008997866,0.0016161697,4.622696,0.07383822,3.0902417,0.19250526,-0.5154189999224945,0.308022502056915,0.8209,0.0301,14.480932919978295,0.6003131621410693,
4122280890294574976,259.33390177092696,-19.5589669208506,RRc,0.2233569463198872,0.17416412,0.0025045902,0.028784234,0.003657779,0.0112219425,0.003102951,4.7047405,0.0694709,3.0222614,0.1990061,-0.6811929451318364,0.318040115516532,0.4455,0.0182,15.046236024636915,0.6181626942886566,
4109127604532170368,259.5283505685508,-26.2374197707988,RRc,0.2391453588845891,0.18173558,0.0041130707,0.028520225,0.0037729233,0.01528304,0.004020311,4.6510878,0.09010334,3.1883342,0.27174485,-0.7753634003743908,0.3291006736363084,0.8773,0.0191,14.16733995210483,0.6216651726255068,
4122010341731666304,259.75562076117654,-20.12456170172939,RRc,0.2212339825643239,0.17152065,0.0018250195,0.024469487,0.002733178,0.011141646,0.0031370656,4.6833296,0.074581824,2.8099449,0.20043914,-0.6715958926793257,0.3074195915398354,0.3805,0.0088,14.037418849950212,0.6247106669656902,
4136204207869435520,259.7749429311563,-15.445389283603172,RRc,0.2414607319989712,0.16626142,0.0023206633,0.024176069,0.002282957,0.0152847925,0.0024212254,4.7003465,0.07321088,3.1076727,0.096313916,-0.7731144147312137,0.3229968148924386,0.4359,0.0151,15.928901636124742,0.6200941281592006,
4137761017556714112,259.826754759044,-15.13281846906022,RRc,0.2319609572104478,0.15065861,0.0009381411,0.018872876,0.0011127344,0.005151331,0.0009428073,4.6659956,0.081499755,2.9359229,0.27510494,-0.6819569694172241,0.3147955002003429,0.4328,0.0054,14.389517151436822,0.62156067477852,
4115137535052250368,260.14103056975694,-21.103939200701628,RRc,0.2329378998755822,0.16245629,0.0023211637,0.019560022,0.0024970982,0.01112358,0.0026333737,4.633353,0.1692757,3.3027194,0.1771265,-0.6123548084174717,0.319966779598453,0.9239,0.05,12.897053946356891,0.622808262653543,
